ZINC_ID	MWT	LogP	Desolv_apolar	Desolv_polar	HBD	HBA	tPSA	Charge	NRB	SMILES
ZINC00117582	185.586	1.87	4.96	-48.48	0	3	49	-1	3	c1ccc(c(c1)OCC(=O)[O-])Cl
ZINC00117584	179.219	1.92	4.65	-7.13	2	3	52	0	3	CC(C)OC(=O)c1ccc(cc1)N
ZINC00117585	349.383	2.65	7.91	-9.45	0	5	64	0	4	COC(=O)[C@@H]1Cc2ccccc2CN1S(=O)(=O)c3ccc(cc3)F
ZINC00117593	330.408	3.02	8.46	-37.86	3	6	76	1	6	CCOC(=O)c1c(c2ccccc2[nH]1)NC(=O)C[NH+]3CCCCC3
ZINC00117598	303.437	4.42	10.33	-12.04	0	3	30	0	3	c1ccc2c(c1)n3c(s2)nnc3SCc4cccs4
ZINC00117600	332.38	1.96	-1.12	-40.15	3	7	84	1	6	CCOC(=O)c1c(c2ccccc2[nH]1)NC(=O)C[NH+]3CCOCC3
ZINC00117603	304.37	2.54	1.01	-38.84	3	6	75	1	6	CCOC(=O)c1c(c2cc(ccc2[nH]1)C)NC(=O)C[NH+](C)C
ZINC00117631	347.389	3.89	-0.84	-14.27	1	3	40	0	4	c1ccc(cc1)C[C@]2(c3ccccc3C(=O)N2Cc4ccccc4F)O
ZINC00117635	347.389	3.89	-0.71	-14.61	1	3	40	0	4	c1ccc(cc1)C[C@@]2(c3ccccc3C(=O)N2Cc4ccccc4F)O
ZINC00117641	272.244	1.07	5.83	-49.22	2	8	123	-1	4	c1ccc2c(c1)nc(n2CCC(=O)[O-])c3c(non3)N
ZINC00117653	318.396	3.91	11.61	-54.87	1	3	52	-1	2	c1ccc(cc1)[C@@H]2[C@H]3[C@@H]4CC[C@@H](C4)[C@H]3c5cccc(c5N2)C(=O)[O-]
ZINC00117664	292.092	2.51	-1.08	-7.03	0	5	64	0	2	c1cc(oc1c2nc(on2)c3ccncc3)Br
ZINC00117671	296.278	3.12	10.23	-15.45	0	5	70	0	3	c1cc(oc1)C(=O)Oc2ccc3c(c2)oc(=O)c4c3CCC4
ZINC00117674	336.343	4.26	3.82	-16.79	0	5	65	0	4	COc1ccc(cc1)C(=O)Oc2ccc3c(c2)oc(=O)c4c3CCC4
ZINC00117676	338.427	3.13	10.92	-55.86	1	4	69	-1	7	CC(C)(C)c1ccc(cc1)[C@H](CC(=O)[O-])NC(=O)Cc2ccccc2
ZINC00117677	336.343	4.29	4.27	-19.36	0	5	65	0	4	COc1ccccc1C(=O)Oc2ccc3c(c2)oc(=O)c4c3CCC4
ZINC00117678	266.304	2.19	9.93	-9.95	1	5	56	0	2	c1ccc(cc1)[C@H]2C[C@H](n3c(ncn3)N2)c4ccco4
